,Animal Utilizado,EQM
0,"(1566,)",87.19898693762016
1,"(1555,)",88.47317732608015
2,"(1507,)",93.683145578993
3,"(1593,)",96.3833422994905
4,"(1573,)",104.7070592416446
5,"(1647,)",107.35919651999434
6,"(1645,)",118.41538145621402
7,"(1512,)",120.29823571247341
8,"(1564,)",127.43768838113884
9,"(1511,)",128.62716216825243
10,"(1635,)",143.96651084774047
11,"(1527,)",145.97230404975173
12,"(1594,)",146.2078542380041
13,"(1584,)",148.2112936376866
14,"(1502,)",149.77283909831692
15,"(1503,)",157.8874166221918
16,"(1624,)",213.8968470921056
17,"(1517,)",232.91979396495017
18,"(1622,)",241.99904706218626
19,"(1638,)",256.8405276629122
