,Animal Utilizado,EQM
0,"(1555,)",113.2073724513954
1,"(1645,)",117.54222289794625
2,"(1512,)",127.82783565951901
3,"(1584,)",129.94574765014593
4,"(1647,)",141.86985282981192
5,"(1527,)",152.9894280441287
6,"(1511,)",155.04374073504607
7,"(1566,)",156.5264804081882
8,"(1635,)",157.7644573915664
9,"(1593,)",158.85421331119701
10,"(1564,)",163.7846708873365
11,"(1573,)",179.54741429119176
12,"(1502,)",181.71186177353806
13,"(1622,)",182.62488350125847
14,"(1517,)",185.38699401283688
15,"(1624,)",208.7177723746368
16,"(1507,)",209.84288957042727
17,"(1594,)",309.8536880612796
18,"(1503,)",383.43796438925597
19,"(1638,)",389.980667934247
